Date,RSI_14D,MACD_SIGNAL,GAP,UPTREND
6/12/2020,58.5181,2.636546072,2.63,1
6/15/2020,61.0556,2.576183499,-1.81,1
6/16/2020,64.2164,2.537883853,2.4,1
6/17/2020,64.7786,2.509317116,0.58,0
6/18/2020,63.3441,2.489968082,-0.19,1
6/19/2020,61.1169,2.460408059,1.24,0
6/22/2020,62.5125,2.446555044,-0.15,1
6/23/2020,62.475,2.449662695,0.93,1
6/24/2020,58.0167,2.420002355,-0.43,0
6/25/2020,55.3475,2.386743128,0.15,1
6/26/2020,49.1292,2.314984813,-0.2,0
6/29/2020,50.5568,2.235290787,-0.01,1
6/30/2020,50.8415,2.17906195,0.01,1
7/1/2020,69.4279,2.138233975,0.07,0
7/2/2020,68.1762,2.114057958,0.99,1
7/6/2020,69.8235,2.126124172,1.36,1
7/7/2020,60.8886,2.13755897,-0.12,0
7/8/2020,64.7824,2.170727789,0.84,1
7/9/2020,64.6425,2.217055,0.88,1
7/10/2020,67.2373,2.263669339,-0.25,0
7/13/2020,55.5872,2.267122792,0.92,0
7/14/2020,56.7463,2.257639957,-0.84,1
7/15/2020,66.5434,2.244653957,0.98,1
7/16/2020,58.4,2.203817594,-1.15,0
7/17/2020,67.9566,2.150939225,0.63,1
7/20/2020,71.1315,2.131938259,0.3,1
7/21/2020,62.7162,2.11275808,0.78,0
7/22/2020,64.3164,2.103535969,0.1,1
7/23/2020,53.2902,2.050933896,-0.58,0
7/24/2020,44.6915,1.9486439,-1.78,0
7/27/2020,52.3475,1.842615664,0.64,1
7/28/2020,44.1551,1.715659833,-0.33,0
7/29/2020,47.4726,1.602742147,0.4,1
7/30/2020,49.1397,1.510462305,-0.97,1
7/31/2020,61.3558,1.475430056,1.7,1
8/3/2020,64.0258,1.518149145,1.5,1
8/4/2020,63.5387,1.608528473,-0.24,1
8/5/2020,68.4057,1.727077175,0.36,1
8/6/2020,69.9861,1.878658083,-0.09,1
8/7/2020,60.1555,2.011273378,-0.46,0
8/10/2020,62.5253,2.115359971,0.22,0
8/11/2020,54.8879,2.158740592,-0.37,0
8/12/2020,67.9574,2.197242269,0.9,1
8/13/2020,72.5541,2.226457357,0.16,0
8/14/2020,69.6749,2.241969388,0.05,0
8/17/2020,76.0231,2.255094897,0.69,1
8/18/2020,74.4,2.2677571,0.22,1
8/19/2020,72.7676,2.272062844,0.29,0
8/20/2020,70.6083,2.290136972,-0.43,1
8/21/2020,67.8865,2.33428623,0.11,1
8/24/2020,69.5467,2.403417693,1.7,1
8/25/2020,69.9301,2.488678305,-0.27,1
8/26/2020,71.5796,2.612675884,1.25,1
8/27/2020,80.903,2.75009351,0.51,0
8/28/2020,84.1515,2.899522108,0.48,1
8/31/2020,98.2554,3.048259281,0.49,1
9/1/2020,98.2315,3.219470856,1.11,1
9/2/2020,98.3716,3.406324878,1.8,1
9/3/2020,64.2961,3.469914411,-2.03,0
9/4/2020,58.063,3.41835817,-0.67,0
9/8/2020,45.6776,3.204345742,-4.49,0
9/9/2020,52.5475,2.951136707,2.75,1
9/10/2020,45.7758,2.637947281,1.6,0
9/11/2020,41.8414,2.28368846,1.07,0
9/14/2020,44.305,1.954865947,1.88,1
9/15/2020,45.233,1.672956338,1.76,1
9/16/2020,38.4833,1.402698042,0.52,0
9/17/2020,37.1744,1.135556222,-2.68,0
9/18/2020,32.9952,0.850512946,0.19,0
9/21/2020,33.5699,0.578102336,-2.26,1
9/22/2020,32.4105,0.354971099,1.27,1
9/23/2020,27.0535,0.116817354,0.06,0
9/24/2020,35.3528,-0.108642307,-1.03,1
9/25/2020,43.0426,-0.27164023,0.06,1
9/28/2020,56.2128,-0.351543975,1.89,1
9/29/2020,48.4527,-0.380598196,-0.15,0
9/30/2020,56.5435,-0.359914605,-0.06,1
10/1/2020,61.1485,-0.288696337,1.62,1
10/2/2020,49.1488,-0.236582997,-2.9,0
10/5/2020,52.0379,-0.158431775,0.82,1
10/6/2020,51.9951,-0.096733267,-0.28,0
10/7/2020,57.9278,-0.014537504,1.21,1
10/8/2020,63.6966,0.085962032,1.03,1
10/9/2020,65.3207,0.221347234,0.56,1
10/12/2020,67.2646,0.423326969,1.77,1
10/13/2020,75.0313,0.64288992,0.4,0
10/14/2020,72.3564,0.85012819,0.3,0
10/15/2020,67.1839,1.028065274,-2.02,0
10/16/2020,62.4502,1.170381971,0.67,0
10/19/2020,57.2341,1.244825683,0.61,0
10/20/2020,56.1124,1.276529562,0.45,1
10/21/2020,52.9557,1.274001708,-0.29,0
10/22/2020,60.1567,1.238312399,0.05,0
10/23/2020,53.1654,1.178812589,0.17,0
10/26/2020,50.7086,1.063818293,-1.31,0
10/27/2020,45.5412,0.926898225,0.56,1
10/28/2020,31.9664,0.70248568,-2.21,0
10/29/2020,32.1447,0.463072729,0.43,1
10/30/2020,15.5738,0.185707216,-1.59,0
11/2/2020,17.5942,-0.096862297,0.85,1
11/3/2020,26.6492,-0.336389392,0.87,1
11/4/2020,41.3508,-0.465415796,3.44,1
11/5/2020,50.0571,-0.459124337,3.09,1
11/6/2020,55.4783,-0.360441235,-0.29,1
11/9/2020,52.7878,-0.22224034,2.58,0
11/10/2020,48.7407,-0.101906082,-1.05,0
11/11/2020,54.5983,0.045985767,1.2,1
11/12/2020,52.8808,0.186061864,0,0
11/13/2020,59.3019,0.329745611,0.91,1
11/16/2020,60.1231,0.486073533,0.01,1
11/17/2020,70.3763,0.630174748,-0.61,0
11/18/2020,64.3735,0.73688144,-0.21,0
11/19/2020,72.9458,0.82835251,-0.24,1
11/20/2020,68.805,0.88364812,0.11,0
11/23/2020,65.9215,0.910878319,0.37,0
11/24/2020,61.0735,0.94365801,0.46,1
11/25/2020,52.7215,0.98019501,0.42,1
11/27/2020,53.3708,1.025307995,0.65,1
11/30/2020,58.7093,1.084177082,-0.04,1
12/1/2020,71.6154,1.17131913,1.02,1
12/2/2020,64.2463,1.265912981,-0.53,0
12/3/2020,69.7515,1.356057086,0.14,0
12/4/2020,70.3361,1.455538964,0.18,1
12/7/2020,68.1695,1.558084696,0.07,1
12/8/2020,73.6599,1.660165296,-0.12,1
12/9/2020,66.6946,1.714050043,-0.08,0
12/10/2020,64.3369,1.733866964,-0.76,0
12/11/2020,70.5998,1.723192013,-0.75,0
12/14/2020,72.0491,1.697216932,0.38,1
12/15/2020,73.0909,1.692330565,1.35,1
12/16/2020,74.4828,1.710781982,0.17,1
12/17/2020,75.2508,1.755108558,0.93,1
12/18/2020,70.5781,1.802149775,0.19,0
12/21/2020,64.833,1.841606784,-1.92,0
12/22/2020,69.4595,1.887753763,0.71,1
12/23/2020,64.25,1.915736886,0.15,0
12/24/2020,63.0172,1.940063235,0.22,1
12/28/2020,66.2205,1.979694012,1.28,1
12/29/2020,61.9675,2.012435937,0.71,0
12/30/2020,75.8294,2.033440119,0.45,0
12/31/2020,75.8523,2.044382955,0.06,0
1/4/2021,64.4928,2.009962969,0.66,0
1/5/2021,65.5469,1.95757585,-0.29,1
1/6/2021,48.7635,1.856792985,-1.84,0
1/7/2021,57.1982,1.781132359,1.22,1
1/8/2021,56.7232,1.734526271,0.64,1
1/11/2021,54.4828,1.687390066,-1.27,0
1/12/2021,52.9878,1.62865491,-0.16,0
1/13/2021,52.1415,1.575099339,0.17,1
1/14/2021,51.6288,1.505819697,0.32,0
1/15/2021,45.1016,1.40582437,-0.19,0
1/19/2021,45.7497,1.315099138,0.88,1
1/20/2021,54.6081,1.272786118,0.9901,1
1/21/2021,58.5568,1.287256622,0.71,1
1/22/2021,56.7451,1.325488701,-0.56,0
1/25/2021,65.2371,1.39129823,1.5,1
1/26/2021,63.8889,1.469207775,0.47,0
1/27/2021,62.8675,1.506903934,-0.64,0
1/28/2021,56.4165,1.522599872,0.67,1
1/29/2021,45.1304,1.470595144,-0.66,0
2/1/2021,55.9217,1.427064104,1.53,1
2/2/2021,61.0583,1.416432014,1.28,1
2/3/2021,58.2989,1.416410332,0.27,0
2/4/2021,65.1275,1.453794807,0.72,1
2/5/2021,68.186,1.504565162,0.41,0
2/8/2021,67.8305,1.580290124,0.55,1
2/9/2021,62.9455,1.661532016,-0.36,0
2/10/2021,58.6462,1.734995127,0.55,0
2/11/2021,63.5972,1.81970881,0.92,1
2/12/2021,62.7958,1.914213454,-0.36,1
2/16/2021,61.0901,1.998358426,0.55,0
2/17/2021,65.7375,2.047580086,-1.27,0
2/18/2021,62.1326,2.056975904,-1.42,0
2/19/2021,74.6537,2.033037963,0.7,0
2/22/2021,53.1316,1.936964982,-1.67,0
2/23/2021,45.0352,1.79039759,-2.21,0
2/24/2021,54.2479,1.648171371,-0.99,1
2/25/2021,33.412,1.437220034,-1.2,0
2/26/2021,36.6417,1.201984373,1.29,1
3/1/2021,45.4274,1.028287736,2.22,1
3/2/2021,41.3575,0.865781906,0.19,0
3/3/2021,36.2124,0.663548041,-0.64,0
3/4/2021,28.7218,0.399872855,-0.4,0
3/5/2021,32.9562,0.148729392,1.58,1
3/8/2021,30.1131,-0.131510836,-0.12,0
3/9/2021,39.9882,-0.346713058,2.94,1
3/10/2021,40.1654,-0.517375528,1.4,0
3/11/2021,44.9355,-0.605802,1.95,1
3/12/2021,47.6149,-0.651825029,-1.58,0
3/15/2021,50.1836,-0.645035976,0.1,1
3/16/2021,48.6911,-0.588076643,1.02,1
3/17/2021,56.2122,-0.503072092,-1.08,0
3/18/2021,48.9329,-0.462989702,-1.83,0
3/19/2021,40.8558,-0.458331811,0.03,0
3/22/2021,48.4713,-0.438860331,0.42,1
3/23/2021,53.0651,-0.423207075,0.36,0
3/24/2021,55.7267,-0.435170525,0.79,0
3/25/2021,50.9344,-0.46410096,-0.77,0
3/26/2021,64.7541,-0.448601581,-0.07,1
3/29/2021,54.7728,-0.416053053,-0.4,0
3/30/2021,52.8051,-0.393519447,-0.93,0
3/31/2021,51.1462,-0.344362153,1,1
4/1/2021,59.5316,-0.237711393,1.45,1
4/5/2021,62.022,-0.055401493,0.79,1
